"","Gender","Married","Dependents","Education","Self_Employed","ApplicantIncome","CoapplicantIncome","LoanAmount","Loan_Amount_Term","Credit_History","Property_Area","Loan_Status","Total_Income","Income_to_Loan"
"1","Male","TRUE","1","TRUE","FALSE",4583,1508,128,360,1,"Rural","FALSE",6091,47.5859375
"2","Male","TRUE","0","TRUE","TRUE",3000,0,66,360,1,"Urban","TRUE",3000,45.4545454545455
"3","Male","TRUE","0","FALSE","FALSE",2583,2358,120,360,1,"Urban","TRUE",4941,41.175
"4","Male","FALSE","0","TRUE","FALSE",6000,0,141,360,1,"Urban","TRUE",6000,42.5531914893617
"5","Male","TRUE","0","FALSE","FALSE",2333,1516,95,360,1,"Urban","TRUE",3849,40.5157894736842
"6","Male","TRUE","2","TRUE","FALSE",3200,700,70,360,1,"Urban","TRUE",3900,55.7142857142857
"7","Male","FALSE","0","TRUE","FALSE",1853,2840,114,360,1,"Rural","FALSE",4693,41.1666666666667
"8","Male","TRUE","2","TRUE","FALSE",1299,1086,17,120,1,"Urban","TRUE",2385,140.294117647059
"9","Male","FALSE","0","TRUE","FALSE",4950,0,125,360,1,"Urban","TRUE",4950,39.6
"10","Female","FALSE","0","TRUE","FALSE",3510,0,76,360,0,"Urban","FALSE",3510,46.1842105263158
"11","Male","TRUE","0","FALSE","FALSE",4887,0,133,360,1,"Rural","FALSE",4887,36.7443609022556
"12","Male","TRUE","0","FALSE","FALSE",7660,0,104,360,0,"Urban","FALSE",7660,73.6538461538462
"13","Male","TRUE","0","FALSE","FALSE",2600,1911,116,360,0,"Semiurban","FALSE",4511,38.8879310344828
"14","Male","TRUE","0","TRUE","FALSE",2799,2253,122,360,1,"Semiurban","TRUE",5052,41.4098360655738
"15","Male","TRUE","2","FALSE","FALSE",4226,1040,110,360,1,"Urban","TRUE",5266,47.8727272727273
"16","Male","FALSE","0","FALSE","FALSE",1442,0,35,360,1,"Urban","FALSE",1442,41.2
"17","Male","FALSE","0","TRUE","FALSE",3167,0,74,360,1,"Urban","FALSE",3167,42.7972972972973
"18","Male","FALSE","1","TRUE","TRUE",4692,0,106,360,1,"Rural","FALSE",4692,44.2641509433962
"19","Male","TRUE","0","TRUE","FALSE",3500,1667,114,360,1,"Semiurban","TRUE",5167,45.3245614035088
"20","Female","TRUE","0","TRUE","FALSE",3667,1459,144,360,1,"Semiurban","TRUE",5126,35.5972222222222
"21","Male","FALSE","0","FALSE","FALSE",3748,1668,110,360,1,"Semiurban","TRUE",5416,49.2363636363636
"22","Male","FALSE","0","TRUE","FALSE",3600,0,80,360,1,"Urban","FALSE",3600,45
"23","Male","FALSE","0","TRUE","FALSE",1800,1213,47,360,1,"Urban","TRUE",3013,64.1063829787234
"24","Male","TRUE","0","TRUE","FALSE",3941,2336,134,360,1,"Semiurban","TRUE",6277,46.8432835820896
"25","Male","TRUE","1","TRUE","FALSE",5649,0,44,360,1,"Urban","TRUE",5649,128.386363636364
"26","Male","TRUE","0","TRUE","FALSE",5821,0,144,360,1,"Urban","TRUE",5821,40.4236111111111
"27","Female","TRUE","0","TRUE","FALSE",2645,3440,120,360,0,"Urban","FALSE",6085,50.7083333333333
"28","Female","FALSE","0","TRUE","FALSE",4000,2275,144,360,1,"Semiurban","TRUE",6275,43.5763888888889
"29","Female","TRUE","0","FALSE","FALSE",1928,1644,100,360,1,"Semiurban","TRUE",3572,35.72
"30","Female","FALSE","0","TRUE","FALSE",3086,0,120,360,1,"Semiurban","TRUE",3086,25.7166666666667
"31","Female","FALSE","0","TRUE","FALSE",4230,0,112,360,1,"Semiurban","FALSE",4230,37.7678571428571
"32","Male","TRUE","2","TRUE","FALSE",4616,0,134,360,1,"Urban","FALSE",4616,34.4477611940299
"33","Male","TRUE","2","TRUE","FALSE",2708,1167,97,360,1,"Semiurban","TRUE",3875,39.9484536082474
"34","Male","TRUE","0","TRUE","FALSE",2132,1591,96,360,1,"Semiurban","TRUE",3723,38.78125
"35","Male","TRUE","0","TRUE","FALSE",3366,2200,135,360,1,"Rural","FALSE",5566,41.2296296296296
"36","Male","TRUE","2","FALSE","FALSE",3357,2859,144,360,1,"Urban","TRUE",6216,43.1666666666667
"37","Male","TRUE","0","TRUE","FALSE",2500,3796,120,360,1,"Urban","TRUE",6296,52.4666666666667
"38","Male","TRUE","3+","TRUE","FALSE",3029,0,99,360,1,"Urban","TRUE",3029,30.5959595959596
"39","Female","FALSE","0","TRUE","FALSE",4166,0,116,360,0,"Semiurban","FALSE",4166,35.9137931034483
"40","Male","FALSE","0","FALSE","FALSE",3200,2254,126,180,0,"Urban","FALSE",5454,43.2857142857143
"41","Male","TRUE","3+","FALSE","TRUE",7100,0,125,60,1,"Urban","TRUE",7100,56.8
"42","Female","FALSE","0","TRUE","FALSE",4300,0,136,360,0,"Semiurban","FALSE",4300,31.6176470588235
"43","Male","TRUE","2","FALSE","TRUE",1875,1875,97,360,1,"Semiurban","TRUE",3750,38.659793814433
"44","Male","FALSE","0","TRUE","FALSE",3500,0,81,300,1,"Semiurban","TRUE",3500,43.2098765432099
"45","Male","FALSE","0","TRUE","FALSE",3750,0,113,480,1,"Urban","FALSE",3750,33.1858407079646
"46","Male","TRUE","1","TRUE","TRUE",1000,3022,110,360,1,"Urban","FALSE",4022,36.5636363636364
"47","Female","FALSE","0","TRUE","FALSE",3846,0,111,360,1,"Semiurban","TRUE",3846,34.6486486486486
"48","Male","TRUE","1","TRUE","FALSE",3988,0,50,240,1,"Urban","TRUE",3988,79.76
"49","Male","FALSE","0","TRUE","FALSE",2366,2531,136,360,1,"Semiurban","TRUE",4897,36.0073529411765
"50","Male","TRUE","0","TRUE","FALSE",2500,2118,104,360,1,"Semiurban","TRUE",4618,44.4038461538462
"51","Male","TRUE","0","TRUE","FALSE",2958,2900,131,360,1,"Semiurban","TRUE",5858,44.7175572519084
"52","Male","TRUE","2","FALSE","FALSE",3273,1820,81,360,1,"Urban","TRUE",5093,62.8765432098765
"53","Male","FALSE","0","TRUE","FALSE",4133,0,122,360,1,"Semiurban","TRUE",4133,33.8770491803279
"54","Male","FALSE","0","FALSE","FALSE",3620,0,25,120,1,"Semiurban","TRUE",3620,144.8
"55","Female","TRUE","0","TRUE","FALSE",2484,2302,137,360,1,"Semiurban","TRUE",4786,34.9343065693431
"56","Male","TRUE","0","TRUE","FALSE",1977,997,50,360,1,"Semiurban","TRUE",2974,59.48
"57","Male","TRUE","0","FALSE","FALSE",4188,0,115,180,1,"Semiurban","TRUE",4188,36.4173913043478
"58","Male","TRUE","0","TRUE","FALSE",1759,3541,131,360,1,"Semiurban","TRUE",5300,40.4580152671756
"59","Male","TRUE","2","FALSE","FALSE",4288,3263,133,180,1,"Urban","TRUE",7551,56.7744360902256
"60","Male","TRUE","1","TRUE","FALSE",3052,1030,100,360,1,"Urban","TRUE",4082,40.82
"61","Male","TRUE","3+","FALSE","FALSE",2071,754,94,480,1,"Semiurban","TRUE",2825,30.0531914893617
"62","Male","FALSE","0","TRUE","FALSE",5316,0,136,360,1,"Urban","TRUE",5316,39.0882352941176
"63","Female","FALSE","0","TRUE","FALSE",4166,0,44,360,1,"Semiurban","TRUE",4166,94.6818181818182
"64","Female","FALSE","0","TRUE","FALSE",2137,8980,137,360,0,"Semiurban","TRUE",11117,81.1459854014599
"65","Male","TRUE","2","TRUE","FALSE",2957,0,81,360,1,"Semiurban","TRUE",2957,36.5061728395062
"66","Male","FALSE","0","TRUE","FALSE",2014,1929,74,360,1,"Urban","TRUE",3943,53.2837837837838
"67","Male","FALSE","0","TRUE","FALSE",2718,0,70,360,1,"Semiurban","TRUE",2718,38.8285714285714
"68","Male","TRUE","0","TRUE","TRUE",3459,0,25,120,1,"Semiurban","TRUE",3459,138.36
"69","Male","FALSE","0","TRUE","FALSE",4895,0,102,360,1,"Semiurban","TRUE",4895,47.9901960784314
"70","Female","TRUE","0","TRUE","FALSE",4583,0,84,360,1,"Rural","FALSE",4583,54.5595238095238
"71","Male","TRUE","2","TRUE","TRUE",3316,3500,88,360,1,"Urban","TRUE",6816,77.4545454545455
"72","Male","TRUE","2","FALSE","FALSE",4200,1430,129,360,1,"Rural","FALSE",5630,43.6434108527132
"73","Male","TRUE","0","TRUE","FALSE",2698,2034,122,360,1,"Semiurban","TRUE",4732,38.7868852459016
"74","Female","TRUE","0","TRUE","FALSE",2330,4486,100,360,1,"Semiurban","TRUE",6816,68.16
"75","Male","TRUE","1","TRUE","FALSE",1538,1425,30,360,1,"Urban","TRUE",2963,98.7666666666667
"76","Male","TRUE","0","TRUE","FALSE",4860,830,125,360,1,"Semiurban","TRUE",5690,45.52
"77","Male","FALSE","0","TRUE","FALSE",6277,0,118,360,0,"Rural","FALSE",6277,53.1949152542373
"78","Male","TRUE","2","FALSE","FALSE",2281,0,113,360,1,"Rural","FALSE",2281,20.1858407079646
"79","Male","FALSE","0","TRUE","FALSE",3254,0,50,360,1,"Urban","TRUE",3254,65.08
"80","Male","TRUE","0","FALSE","FALSE",1863,1041,98,360,1,"Semiurban","TRUE",2904,29.6326530612245
"81","Male","TRUE","1","TRUE","FALSE",3089,1280,121,360,0,"Semiurban","FALSE",4369,36.1074380165289
"82","Male","TRUE","0","TRUE","FALSE",9323,0,75,180,1,"Urban","TRUE",9323,124.306666666667
"83","Female","TRUE","0","TRUE","FALSE",4583,0,112,360,1,"Rural","FALSE",4583,40.9196428571429
"84","Male","TRUE","0","TRUE","FALSE",2439,3333,129,360,1,"Rural","TRUE",5772,44.7441860465116
"85","Male","FALSE","0","TRUE","FALSE",2237,0,63,480,0,"Semiurban","FALSE",2237,35.5079365079365
"86","Male","TRUE","3+","FALSE","FALSE",3522,0,81,180,1,"Rural","FALSE",3522,43.4814814814815
"87","Male","TRUE","0","FALSE","TRUE",4344,736,87,360,1,"Semiurban","FALSE",5080,58.3908045977011
"88","Male","TRUE","0","TRUE","FALSE",3497,1964,116,360,1,"Rural","TRUE",5461,47.0775862068966
"89","Male","TRUE","2","TRUE","FALSE",2045,1619,101,360,1,"Rural","TRUE",3664,36.2772277227723
"90","Male","TRUE","1","TRUE","FALSE",3750,0,116,360,1,"Semiurban","TRUE",3750,32.3275862068966
"91","Male","FALSE","0","FALSE","FALSE",2333,1451,102,480,0,"Urban","FALSE",3784,37.0980392156863
"92","Male","TRUE","0","TRUE","FALSE",4600,0,73,180,1,"Semiurban","TRUE",4600,63.013698630137
"93","Female","TRUE","0","TRUE","FALSE",3625,0,108,360,1,"Semiurban","TRUE",3625,33.5648148148148
"94","Male","TRUE","1","TRUE","TRUE",2178,0,66,300,0,"Rural","FALSE",2178,33
"95","Male","FALSE","0","FALSE","FALSE",4885,0,48,360,1,"Rural","TRUE",4885,101.770833333333
"96","Male","FALSE","0","TRUE","FALSE",3858,0,76,360,1,"Semiurban","TRUE",3858,50.7631578947368
"97","Male","FALSE","0","TRUE","FALSE",4191,0,120,360,1,"Rural","TRUE",4191,34.925
"98","Male","TRUE","1","FALSE","FALSE",2600,2500,90,360,1,"Semiurban","TRUE",5100,56.6666666666667
"99","Male","TRUE","1","FALSE","FALSE",3500,1083,135,360,1,"Urban","TRUE",4583,33.9481481481481
"100","Male","TRUE","2","FALSE","FALSE",3917,0,124,360,1,"Semiurban","TRUE",3917,31.5887096774194
"101","Female","FALSE","0","FALSE","FALSE",4408,0,120,360,1,"Semiurban","TRUE",4408,36.7333333333333
"102","Female","FALSE","0","TRUE","FALSE",3244,0,80,360,1,"Urban","TRUE",3244,40.55
"103","Male","FALSE","0","FALSE","FALSE",3975,2531,55,360,1,"Rural","TRUE",6506,118.290909090909
"104","Male","FALSE","0","TRUE","FALSE",2479,0,59,360,1,"Urban","TRUE",2479,42.0169491525424
"105","Male","FALSE","0","TRUE","FALSE",3418,0,127,360,1,"Semiurban","FALSE",3418,26.9133858267717
"106","Male","TRUE","3+","TRUE","FALSE",3430,1250,128,360,0,"Semiurban","FALSE",4680,36.5625
"107","Male","TRUE","3+","FALSE","TRUE",5703,0,130,360,1,"Rural","TRUE",5703,43.8692307692308
"108","Male","TRUE","0","TRUE","FALSE",3173,3021,137,360,1,"Urban","TRUE",6194,45.2116788321168
"109","Male","TRUE","3+","FALSE","FALSE",3850,983,100,360,1,"Semiurban","TRUE",4833,48.33
"110","Male","TRUE","0","TRUE","FALSE",150,1800,135,360,1,"Rural","FALSE",1950,14.4444444444444
"111","Male","TRUE","0","TRUE","FALSE",3727,1775,131,360,1,"Semiurban","TRUE",5502,42
"112","Male","TRUE","0","TRUE","FALSE",2221,0,60,360,0,"Urban","FALSE",2221,37.0166666666667
"113","Male","TRUE","2","TRUE","FALSE",4009,1717,116,360,1,"Semiurban","TRUE",5726,49.3620689655172
"114","Male","FALSE","0","TRUE","FALSE",2971,2791,144,360,1,"Semiurban","TRUE",5762,40.0138888888889
"115","Male","TRUE","0","TRUE","FALSE",6250,0,128,360,1,"Semiurban","TRUE",6250,48.828125
"116","Male","TRUE","1","TRUE","FALSE",2491,2054,104,360,1,"Semiurban","TRUE",4545,43.7019230769231
"117","Male","TRUE","1","TRUE","FALSE",3155,1779,140,360,1,"Semiurban","TRUE",4934,35.2428571428571
"118","Female","FALSE","1","TRUE","FALSE",3812,0,112,360,1,"Rural","TRUE",3812,34.0357142857143
"119","Male","TRUE","1","TRUE","FALSE",3315,0,96,360,1,"Semiurban","TRUE",3315,34.53125
"120","Male","TRUE","2","TRUE","FALSE",5819,5000,120,360,1,"Rural","TRUE",10819,90.1583333333333
"121","Male","TRUE","1","FALSE","FALSE",2510,1983,140,180,1,"Urban","FALSE",4493,32.0928571428571
"122","Male","TRUE","2","TRUE","TRUE",6250,1300,108,360,1,"Rural","TRUE",7550,69.9074074074074
"123","Male","TRUE","0","FALSE","FALSE",3406,4417,123,360,1,"Semiurban","TRUE",7823,63.6016260162602
"124","Male","FALSE","0","TRUE","TRUE",6050,4333,120,180,1,"Urban","FALSE",10383,86.525
"125","Male","TRUE","2","TRUE","FALSE",9703,0,112,360,1,"Urban","TRUE",9703,86.6339285714286
"126","Male","TRUE","1","FALSE","FALSE",6608,0,137,180,1,"Urban","TRUE",6608,48.2335766423358
"127","Male","TRUE","1","TRUE","FALSE",2882,1843,123,480,1,"Semiurban","TRUE",4725,38.4146341463415
"128","Male","TRUE","0","TRUE","FALSE",1809,1868,90,360,1,"Urban","TRUE",3677,40.8555555555556
"129","Female","FALSE","2","TRUE","FALSE",3427,0,138,360,1,"Urban","FALSE",3427,24.8333333333333
"130","Male","FALSE","0","FALSE","TRUE",2583,2167,104,360,1,"Rural","TRUE",4750,45.6730769230769
"131","Male","FALSE","0","FALSE","FALSE",6045,0,115,360,0,"Rural","FALSE",6045,52.5652173913044
"132","Male","TRUE","3+","TRUE","FALSE",5250,0,94,360,1,"Urban","FALSE",5250,55.8510638297872
"133","Male","FALSE","0","TRUE","FALSE",2060,2209,134,360,1,"Semiurban","TRUE",4269,31.8582089552239
"134","Female","FALSE","0","TRUE","FALSE",7200,0,120,360,1,"Rural","TRUE",7200,60
"135","Male","FALSE","0","TRUE","TRUE",5166,0,128,360,1,"Semiurban","TRUE",5166,40.359375
"136","Male","TRUE","2","TRUE","FALSE",4708,1387,150,360,1,"Semiurban","TRUE",6095,40.6333333333333
